Subzone,Planning Area,population
ADMIRALTY,Sembawang,13480
AIRPORT ROAD,Paya Lebar,-
ALEXANDRA HILL,Bukit Merah,13150
ALEXANDRA NORTH,Bukit Merah,2780
ALJUNIED,Geylang,39620
ANAK BUKIT,Bukit Timah,21220
ANCHORVALE,Sengkang,50050
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4760
ANSON,Downtown Core,80
BAHAR,Western Water Catchment,-
BALESTIER,Novena,32020
BANGKIT,Bukit Panjang,21680
BAYFRONT SUBZONE,Downtown Core,-
BAYSHORE,Bedok,7340
BEDOK NORTH,Bedok,81010
BEDOK RESERVOIR,Bedok,24940
BEDOK SOUTH,Bedok,45860
BENCOOLEN,Rochor,1240
BENDEMEER,Kallang,36950
BENOI SECTOR,Pioneer,-
BIDADARI,Toa Payoh,-
BISHAN EAST,Bishan,27300
BOAT QUAY,Singapore River,130
BOON KENG,Kallang,11310
BOON LAY PLACE,Jurong West,28350
BOON TECK,Toa Payoh,14890
BOULEVARD,Orchard,340
BRADDELL,Toa Payoh,9610
BRAS BASAH,Museum,10
BRICKLAND,Tengah,-
BRICKWORKS,Bukit Batok,25180
BUGIS,Downtown Core,880
BUKIT BATOK CENTRAL,Bukit Batok,26900
BUKIT BATOK EAST,Bukit Batok,12300
BUKIT BATOK SOUTH,Bukit Batok,14580
BUKIT BATOK WEST,Bukit Batok,14550
BUKIT HO SWEE,Bukit Merah,14000
BUKIT MERAH,Bukit Merah,1060
CAIRNHILL,Newton,3800
CECIL,Downtown Core,320
CENTRAL SUBZONE,Downtown Core,980
CENTRAL WATER CATCHMENT,Central Water Catchment,-
CHANGI AIRPORT,Changi,-
CHANGI BAY,Changi Bay,-
CHANGI POINT,Changi,560
CHANGI WEST,Changi,1330
CHATSWORTH,Tanglin,6830
CHENG SAN,Ang Mo Kio,27260
CHIN BEE,Jurong West,-
CHINA SQUARE,Outram,1340
CHINATOWN,Outram,10090
CHOA CHU KANG CENTRAL,Choa Chu Kang,22200
CHOA CHU KANG NORTH,Choa Chu Kang,31260
CHONG BOON,Ang Mo Kio,25800
CITY HALL,Downtown Core,90
CITY TERMINALS,Bukit Merah,20
CLARKE QUAY,Singapore River,100
CLEANTECH,Western Water Catchment,-
CLEMENTI CENTRAL,Clementi,14390
CLEMENTI NORTH,Clementi,27870
CLEMENTI WEST,Clementi,14770
CLEMENTI WOODS,Clementi,15770
CLIFFORD PIER,Downtown Core,-
COMMONWEALTH,Queenstown,6660
COMPASSVALE,Sengkang,20750
CONEY ISLAND,Punggol,-
CORONATION ROAD,Bukit Timah,6400
CRAWFORD,Kallang,8050
DAIRY FARM,Bukit Panjang,6810
DEFU INDUSTRIAL PARK,Hougang,10
DEPOT ROAD,Bukit Merah,6400
DHOBY GHAUT,Museum,350
DOVER,Queenstown,10690
DUNEARN,Novena,3790
EAST COAST,Marine Parade,-
EVERTON PARK,Bukit Merah,7520
FABER,Clementi,5320
FAJAR,Bukit Panjang,27020
FARRER COURT,Bukit Timah,6140
FARRER PARK,Rochor,2500
FERNVALE,Sengkang,58390
FLORA DRIVE,Pasir Ris,14840
FOREST HILL,Tengah,10
FORT CANNING,Museum,170
FRANKEL,Bedok,33590
GALI BATU,Sungei Kadut,20
GARDEN,Tengah,-
GEYLANG BAHRU,Kallang,10750
GEYLANG EAST,Geylang,29350
GHIM MOH,Queenstown,13370
GOMBAK,Bukit Batok,9770
GOODWOOD PARK,Newton,1250
GREENWOOD PARK,Woodlands,80
GUILIN,Bukit Batok,12450
GUL BASIN,Pioneer,-
GUL CIRCLE,Pioneer,20
HENDERSON HILL,Bukit Merah,12970
HILLCREST,Bukit Timah,9220
HILLVIEW,Bukit Batok,18870
HOLLAND DRIVE,Queenstown,12080
HOLLAND ROAD,Bukit Timah,10750
HONG KAH,Jurong West,52420
HONG KAH NORTH,Bukit Batok,25550
HOUGANG CENTRAL,Hougang,4590
HOUGANG EAST,Hougang,24270
HOUGANG WEST,Hougang,44900
INSTITUTION HILL,River Valley,3130
INTERNATIONAL BUSINESS PARK,Jurong East,-
ISTANA NEGARA,Newton,50
JELEBU,Bukit Panjang,30480
JOO KOON,Pioneer,20
JOO SENG,Toa Payoh,7990
JURONG GATEWAY,Jurong East,500
JURONG ISLAND AND BUKOM,Western Islands,-
JURONG PORT,Jurong East,-
JURONG RIVER,Jurong East,-
JURONG WEST CENTRAL,Jurong West,61720
KAKI BUKIT,Bedok,36240
KALLANG BAHRU,Kallang,10
KALLANG WAY,Geylang,30
KAMPONG BUGIS,Kallang,930
KAMPONG GLAM,Rochor,110
KAMPONG JAVA,Kallang,10050
KAMPONG TIONG BAHRU,Bukit Merah,8700
KAMPONG UBI,Geylang,11290
KANGKAR,Hougang,32260
KATONG,Marine Parade,9090
KEAT HONG,Choa Chu Kang,38240
KEBUN BAHRU,Ang Mo Kio,21950
KEMBANGAN,Bedok,36350
KENT RIDGE,Queenstown,60
KHATIB,Yishun,9950
KIAN TECK,Jurong West,30
